"time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipIntensityMax","precipIntensityMaxTime","precipProbability","temperatureHigh","temperatureHighTime","temperatureLow","temperatureLowTime","apparentTemperatureHigh","apparentTemperatureHighTime","apparentTemperatureLow","apparentTemperatureLowTime","dewPoint","humidity","pressure","windSpeed","windGust","windGustTime","windBearing","cloudCover","uvIndex","uvIndexTime","visibility","ozone","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","date","precipType","temperatureHighError","temperatureLowError","temperatureMinError","temperatureMaxError","dewPointError","pressureError","windSpeedError","windBearingError","cloudCoverError","precipAccumulation","precipIntensityMaxError","precipIntensityError","precipProbabilityError"
1609383600,"Clear throughout the day.","clear-day",1609404300,1609456260,0.56,0,2e-04,1609406400,0.04,83.01,1609446720,68.29,1609489740,82.51,1609446720,68.78,1609489740,41.45,0.35,1013,8.85,25.15,1609384920,228,0.01,13,1609430160,10,272.7,59.75,1609404420,83.01,1609446720,60.24,1609404420,82.51,1609446720,2020-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609470000,"Partly cloudy throughout the day.","clear-day",1609490760,1609542660,0.59,1e-04,2e-04,1609502400,0.05,88.27,1609521120,71.01,1609577100,87.77,1609521120,71.5,1609577100,51.55,0.41,1013.9,9.66,24.94,1609474680,333,0.31,12,1609516620,10,267.2,68.29,1609489740,88.27,1609521120,68.78,1609489740,87.77,1609521120,2021-01-01,"rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609556400,"Clear throughout the day.","clear-day",1609577220,1609629060,0.63,1e-04,2e-04,1609576500,0.05,88.29,1609615980,72.85,1609664880,87.79,1609615980,73.58,1609664940,58.83,0.5,1014.8,9.21,23.03,1609556580,57,0,14,1609603080,10,257.9,71.01,1609577100,88.29,1609615980,71.5,1609577100,87.79,1609615980,2021-01-02,"rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609642800,"Partly cloudy throughout the day.","partly-cloudy-day",1609663620,1609715460,0.66,0,2e-04,1609677180,0.04,85,1609700160,72.14,1609750680,84.5,1609700160,73.24,1609750680,60.87,0.55,1013.2,12.25,26.76,1609720560,67,0.42,11,1609685460,10,257.9,72.85,1609664880,85,1609700160,73.58,1609664940,84.5,1609700160,2021-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609729200,"Mostly cloudy throughout the day.","partly-cloudy-day",1609750080,1609801860,0.7,0,2e-04,1609750800,0.06,83.48,1609786020,70.46,1609829460,84.14,1609786380,72.13,1609829460,65.83,0.68,1009.7,11.24,23.49,1609729200,76,0.79,8,1609778520,10,254.9,72.14,1609750680,83.48,1609786020,73.24,1609750680,84.14,1609786380,2021-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609815600,"Rain starting in the afternoon.","rain",1609836540,1609888260,0.73,0.0086,0.0444,1609876860,0.69,83.53,1609855800,68.24,1609927200,89.04,1609855320,69.83,1609927200,69.84,0.8,1008,11.02,23.07,1609889940,127,0.71,10,1609858740,10,257.6,70.46,1609829460,83.53,1609855800,72.13,1609829460,89.04,1609855320,2021-01-05,"rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609902000,"Mostly cloudy throughout the day.","rain",1609923000,1609974660,0.77,0.0023,0.0346,1609902000,0.49,79.44,1609962000,64.87,1610009640,79.13,1609961880,65.79,1610009760,64.76,0.76,1007.5,10.51,23.28,1609980180,281,0.59,9,1609945440,10,263.8,68.13,1609929720,79.44,1609962000,69.63,1609930260,79.13,1609961880,2021-01-06,"rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609988400,"Clear throughout the day.","clear-day",1610009460,1610061060,0.81,2e-04,0.0011,1609998840,0.09,89.1,1610049120,68.94,1610096760,88.6,1610049120,69.75,1610096640,59.55,0.6,1007.6,10.54,21.7,1609996380,256,0.1,13,1610036040,10,267.8,64.87,1610009640,89.1,1610049120,65.79,1610009760,88.6,1610049120,2021-01-07,"rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610074800,"Partly cloudy throughout the day.","partly-cloudy-day",1610095920,1610147460,0.85,5e-04,0.0033,1610142780,0.06,84.31,1610130780,67.36,1610184120,83.81,1610130780,68.15,1610184300,56.67,0.52,1010.5,9.9,20.76,1610154060,151,0.49,9,1610115420,10,262.5,68.94,1610096760,84.31,1610130780,69.75,1610096640,83.81,1610130780,2021-01-08,"rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610161200,"Mostly cloudy throughout the day.","rain",1610182380,1610233860,0.88,0.0037,0.0225,1610179980,0.42,80.48,1610219520,72.64,1610268480,80.91,1610218860,73.43,1610268360,62.13,0.67,1012,10.3,24.42,1610244000,75,0.68,7,1610215800,10,263.1,67.36,1610184120,80.48,1610219520,68.15,1610184300,80.91,1610218860,2021-01-09,"rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610247600,"Humid throughout the day.","clear-day",1610268840,1610320260,0.92,0,3e-04,1610330400,0.04,86.94,1610304300,71.23,1610359200,89.62,1610304960,72.72,1610359200,66.27,0.64,1008.9,12.64,30.51,1610322600,70,0.13,13,1610294460,10,266.8,72.64,1610268480,86.94,1610304300,73.43,1610268360,89.62,1610304960,2021-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610334000,"Heavy rain in the morning.","rain",1610355240,1610406660,0.96,0.0462,0.3112,1610356980,0.91,81.84,1610384340,63.03,1610438520,85.43,1610383980,63.52,1610438520,67.78,0.74,1005.9,9.23,31.01,1610337480,325,0.69,6,1610390640,9.984,261.5,70.93,1610362560,81.84,1610384340,72.38,1610362500,85.43,1610383980,2021-01-11,"rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610420400,"Partly cloudy throughout the day.","clear-day",1610441700,1610493060,0.99,1e-04,2e-04,1610432400,0.04,76.36,1610478060,65,1610524980,75.86,1610478060,65.49,1610524980,44.87,0.43,1017.9,12.64,27.54,1610427240,125,0.27,11,1610469000,10,262.2,63.03,1610438520,76.36,1610478060,63.52,1610438520,75.86,1610478060,2021-01-12,"rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610506800,"Clear throughout the day.","clear-day",1610528160,1610579460,0.03,0,1e-04,1610542800,0.02,79.27,1610564280,65.86,1610614680,78.77,1610564280,66.35,1610614680,50.09,0.48,1020.7,13.08,28.48,1610585940,85,0.07,13,1610553660,10,261.8,65,1610524980,79.27,1610564280,65.49,1610524980,78.77,1610564280,2021-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
